Id,SalePrice
1461,125499.8566304796
1462,153783.4292916298
1463,188964.84054510616
1464,184314.0212640176
1465,199394.3544857301
1466,183733.0084738019
1467,168911.42558437958
1468,176435.7345510832
1469,179936.30989559952
1470,128072.01835743764
1471,191054.52850187
1472,93083.99339228796
1473,91628.51824694898
1474,150909.76148233397
1475,152594.1725935023
1476,369971.9184883756
1477,259717.2401493601
1478,304287.7384958161
1479,266740.4580987335
1480,464234.0691828085
1481,305851.5246930748
1482,208376.5983121689
1483,174304.6468920887
1484,179061.09127130936
1485,175096.6878942717
1486,199356.29766003284
1487,320662.2193197155
1488,232919.64507017485
1489,209339.05660052504
1490,192149.150064534
1491,190715.29576624985
1492,99378.97495268688
1493,158500.527392808
1494,300535.0597874245
1495,299301.4355329664
1496,229684.33439389337
1497,193336.777008046
1498,152013.03592327246
1499,152814.48449709982
1500,158890.80273835856
1501,173369.44773858925
1502,173664.82334209344
1503,281874.92868093995
1504,227151.3833295748
1505,221581.4605799013
1506,188857.43949053544
1507,222316.21888202723
1508,203969.72042815192
1509,166554.464208311
1510,154890.21713669912
1511,155634.13755632588
1512,164624.6322275987
1513,138612.80551570488
1514,150149.7448327226
1515,169653.90270033726
1516,149666.07614670868
1517,148957.88186742988
1518,130827.6745478735
1519,218590.1855958091
1520,138864.95234986438
1521,144496.04617850675
1522,158629.55112885791
1523,125748.32483643635
1524,125489.12757364624
1525,125866.86476070467
1526,128380.27041979336
1527,111076.00042859736
1528,136991.08970236554
1529,145672.6677258509
1530,160504.2595539872
1531,115901.09428224388
1532,104819.45191024596
1533,136766.4139627725
1534,116152.09825407276
1535,152832.41271809206
1536,114671.17218088322
1537,70785.44272026564
1538,168090.07568806372
1539,198564.54891613612
1540,100250.99504312348
1541,138623.11880752043
1542,137904.65400438232
1543,201388.23357719835
1544,77215.02029761935
1545,101255.02757059092
1546,119338.67697973378
1547,132822.7624087762
1548,132274.6598529511
1549,103221.83201468244
1550,137015.79317878152
1551,117786.7392486445
