,ID,Label
0,29455,0
1,41446,0
2,42116,0
3,32619,0
4,51078,0
5,43520,0
6,21449,0
7,34409,0
8,23008,0
9,12290,0
10,30465,1
11,48061,0
12,43647,0
13,36260,0
14,28289,0
15,3426,0
16,43426,0
17,2388,0
18,35162,0
19,24619,0
20,24155,0
21,17269,0
22,31251,0
23,5699,0
24,39740,0
25,9997,0
26,25705,0
27,20536,0
28,22466,0
29,31451,1
30,7485,0
31,41870,0
32,29143,0
33,24687,0
34,11537,0
35,24538,0
36,4669,0
37,12999,0
38,8689,0
39,23602,0
40,45996,0
41,39567,0
42,10701,0
43,4266,0
44,42101,1
45,1651,0
46,12723,0
47,33404,1
48,38928,0
49,25203,1
50,46000,0
51,5157,0
52,3735,0
53,50245,0
54,26050,0
55,23510,0
56,19703,0
57,38357,0
58,30653,0
59,31388,0
60,43778,1
61,48316,0
62,4748,0
63,9044,0
64,2073,0
65,36646,0
66,18804,0
67,22816,0
68,8972,0
69,4836,1
70,38745,0
71,11177,0
72,16158,0
73,32839,0
74,19607,0
75,29219,0
76,9056,0
77,38102,0
78,14148,1
79,10871,0
80,45138,0
81,35251,0
82,3576,1
83,8796,0
84,23401,0
85,45027,0
86,10927,0
87,49664,1
88,36245,0
89,23730,0
90,35957,1
91,23167,0
92,43006,0
93,7595,0
94,39365,0
95,52255,0
96,38994,0
97,50642,0
98,28811,1
99,5494,0
100,32674,0
101,6680,0
102,11668,1
103,34280,0
104,23534,0
105,39473,0
106,23541,0
107,30461,0
108,46514,0
109,31403,0
110,52715,1
111,20540,0
112,14656,0
113,8109,0
114,19472,0
115,27166,1
116,8102,0
117,21815,0
118,45322,0
119,5591,0
120,15059,0
121,7200,0
122,26363,0
123,18188,0
124,21214,0
125,31,0
126,37824,0
127,51357,0
128,12743,0
129,18876,0
130,25935,0
131,49475,0
132,33722,0
133,4296,1
134,12015,0
135,34817,0
136,45630,0
137,11060,0
138,52206,0
139,37248,0
140,18405,0
141,8169,0
142,45190,0
143,11715,1
144,46328,0
145,2864,0
146,31997,1
147,33258,0
148,22234,0
149,48546,0
150,48671,0
151,30563,0
152,41775,0
153,32052,0
154,21381,1
155,42402,1
156,42400,0
157,53574,0
158,46758,0
159,10854,0
160,34398,0
161,2597,0
162,30906,0
163,27612,1
164,22117,0
165,8759,0
166,42042,0
167,47406,0
168,31249,1
169,15151,1
170,51983,0
171,12044,0
172,45690,0
173,25892,0
174,10971,0
175,18255,0
176,9809,0
177,13789,0
178,23757,0
179,51115,0
180,48071,1
181,27099,0
182,8981,1
183,43722,0
184,39844,0
185,19815,1
186,9209,1
187,30675,1
188,33773,1
189,23145,1
190,17348,0
191,28331,0
192,6445,0
193,28647,0
194,26785,0
195,15046,1
196,12675,0
197,51264,0
198,22235,0
199,45177,0
200,16886,0
201,25637,1
202,35292,1
203,14156,0
